Date,Symbol,Underlying,Type,Direction,Option Type,Strike,Expiry,Quantity,Entry Price,Exit Price,Commission,Fees,P&L,Status,Entry Time,Exit Time,R:R,Tags,Journal,Account ID
2026-05-08,XAU/USD,XAU/USD,future,long,,,,0.05,4743.95,4737.88,0,0,-30.35,loss,14:01,14:05,,,,
2026-05-08,BTC/USD,BTC/USD,future,long,,,,0.061276,80216.97,80076.34,0,0,-8.62,loss,11:40,12:50,,,,
2026-05-07,BTC/USD,BTC/USD,future,short,,,,0.060828,80221.45,79633.35,0,0,35.77,win,15:08,05:16,,,,
2026-05-07,BTC/USD,BTC/USD,future,long,,,,0.009999,81134.61,81040.37,0,0,-0.94,loss,05:31,05:34,,,,
2026-05-05,BTC/USD,BTC/USD,future,long,,,,0.059993,81459.35,81241.7,0,0,-13.06,loss,13:37,13:40,,,,
2026-05-05,BTC/USD,BTC/USD,future,short,,,,0.049997,80563.2,80635.06,0,0,-3.59,loss,10:04,10:05,,,,
2026-05-05,BTC/USD,BTC/USD,future,long,,,,0.009999,81104.79,81006.15,0,0,-0.99,loss,07:35,07:44,,,,
2026-05-04,BTC/USD,BTC/USD,future,short,,,,0.062613,78350.97,78471.15,0,0,-7.52,loss,00:40,00:56,,,,
2026-05-01,BTC/USD,BTC/USD,future,long,,,,0.063691,77060.45,77024.34,0,0,-2.3,loss,03:56,05:19,,,,
2026-04-29,XAU/USD,XAU/USD,future,short,,,,0.1,4539.68,4545.58,0,0,-59.01,loss,14:59,15:06,,,,
2026-04-28,BTC/USD,BTC/USD,future,short,,,,0.065679,75768.42,75912.06,0,0,-9.43,loss,14:53,14:59,,,,
2026-04-27,BTC/USD,BTC/USD,future,short,,,,0.064838,76761.58,76771.73,0,0,-0.66,loss,15:58,17:04,,,,
2026-04-24,BTC/USD,BTC/USD,future,short,,,,0.064194,77677.23,77822.55,0,0,-9.33,loss,07:45,08:15,,,,
2026-04-24,BTC/USD,BTC/USD,future,short,,,,0.064212,77744.72,77834.77,0,0,-5.78,loss,04:05,04:21,,,,
2026-04-23,BTC/USD,BTC/USD,future,long,,,,0.063764,78024.3,78291.72,0,0,17.05,win,15:08,15:17,,,,
2026-04-21,BTC/USD,BTC/USD,future,short,,,,0.01,75987.96,75951.87,0,0,0.36,win,13:06,13:42,,,,
2026-04-20,BTC/USD,BTC/USD,future,long,,,,0.065432,75806.7,76029.4,0,0,14.57,win,17:40,18:01,,,,
2026-04-17,BTC/USD,BTC/USD,future,long,,,,0.066146,74852.19,74989.17,0,0,9.06,win,06:45,07:03,,,,
2026-04-15,BTC/USD,BTC/USD,future,short,,,,0.06717,73933.36,74155.97,0,0,-14.95,loss,14:07,14:15,,,,
2026-04-15,BTC/USD,BTC/USD,future,long,,,,0.066709,74580.8,74443.9,0,0,-9.13,loss,00:41,02:26,,,,
2026-04-14,BTC/USD,BTC/USD,future,short,,,,0.067015,74833.21,75427.17,0,0,-39.8,loss,15:30,15:54,,,,
2026-04-13,BTC/USD,BTC/USD,future,long,,,,0.069672,71663.57,71980.17,0,0,22.06,win,14:16,14:44,,,,
2026-04-13,BTC/USD,BTC/USD,future,short,,,,0.01,70991.58,70977.52,0,0,0.14,win,04:00,04:16,,,,
2026-04-12,BTC/USD,BTC/USD,future,short,,,,0.010001,70691.19,70809.06,0,0,-1.18,loss,23:46,00:08,,,,
